,State,Total_Expenses,Sales,Profit,Market,Trade,Product_Type,Inventory,Type,New_Column
0,California,63.0,109.0,-131.0,West,40,Coffee,2947.0,Regular,172.0
1,California,55.0,201.0,88.0,West,24,Tea,659.0,Regular,256.0
2,California,700.0,289.0,25.0,West,109,Espresso,788.0,Regular,989.0
3,California,113.0,576.0,216.0,West,81,Espresso,1744.0,Decaf,689.0
4,California,37.0,247.0,148.0,West,26,Herbal Tea,809.0,Decaf,284.0
5,California,99.0,582.0,291.0,West,77,Herbal Tea,1268.0,Decaf,681.0
6,California,25.0,90.0,26.0,West,12,Herbal Tea,541.0,Decaf,115.0
7,California,43.0,276.0,120.0,West,31,Tea,897.0,Regular,319.0
8,California,32.0,187.0,79.0,West,21,Tea,580.0,Regular,219.0
9,California,142.0,687.0,364.0,West,90,Coffee,2067.0,Regular,829.0
10,California,166.0,902.0,508.0,West,127,Coffee,2617.0,Regular,1068.0
11,California,139.0,664.0,349.0,West,87,Coffee,2580.0,Regular,803.0
12,California,54.0,168.0,47.0,West,22,Tea,677.0,Regular,222.0
13,California,109.0,546.0,203.0,West,77,Espresso,1310.0,Decaf,655.0
14,California,116.0,589.0,220.0,West,83,Espresso,1686.0,Decaf,705.0
15,California,107.0,567.0,292.0,West,75,Espresso,1691.0,Decaf,674.0
16,California,33.0,198.0,84.0,West,22,Herbal Tea,984.0,Decaf,231.0
17,California,88.0,467.0,165.0,West,66,Herbal Tea,923.0,Decaf,555.0
18,California,91.0,490.0,174.0,West,69,Herbal Tea,1272.0,Decaf,581.0
19,California,28.0,119.0,52.0,West,17,Herbal Tea,554.0,Decaf,147.0
20,California,44.0,290.0,128.0,West,33,Tea,930.0,Regular,334.0
21,California,92.0,527.0,230.0,West,74,Espresso,1819.0,Regular,619.0
22,California,92.0,527.0,230.0,West,74,Espresso,1797.0,Regular,619.0
23,California,96.0,132.0,-182.0,West,47,Coffee,862.0,Decaf,228.0
24,California,49.0,159.0,59.0,West,21,Tea,593.0,Regular,208.0
25,California,111.0,607.0,317.0,West,86,Espresso,1433.0,Decaf,718.0
26,California,85.0,452.0,160.0,West,64,Herbal Tea,965.0,Decaf,537.0
27,California,30.0,120.0,38.0,West,17,Herbal Tea,554.0,Decaf,150.0
28,California,37.0,188.0,92.0,West,27,Herbal Tea,574.0,Decaf,225.0
29,California,41.0,256.0,111.0,West,29,Tea,821.0,Regular,297.0
30,California,45.0,302.0,134.0,West,34,Tea,928.0,Regular,347.0
31,California,45.0,322.0,199.0,West,34,Tea,928.0,Regular,367.0
32,California,40.0,245.0,105.0,West,28,Tea,598.0,Regular,285.0
