State,Total Expenses,Product,Sales,Market Size,Profit,Market,Marketing,Product Type,Inventory,Type
California,63,Amaretto,106,Major Market,-84,West,40,Coffee,1215,Regular
California,71,Amaretto,87,Major Market,-138,West,49,Coffee,1832,Regular
California,55,Amaretto,162,Major Market,-3,West,30,Coffee,608,Regular
California,63,Amaretto,109,Major Market,-131,West,40,Coffee,2947,Regular
California,152,Columbian,712,Major Market,276,West,99,Coffee,2108,Regular
California,152,Columbian,759,Major Market,410,West,99,Coffee,2108,Regular
California,55,Green Tea,201,Major Market,88,West,24,Tea,659,Regular
California,143,Caffe Mocha,289,Major Market,25,West,109,Espresso,788,Regular
California,113,Decaf Espresso,576,Major Market,216,West,81,Espresso,1744,Decaf
California,113,Decaf Espresso,614,Major Market,321,West,81,Espresso,1744,Decaf
California,37,Chamomile,247,Major Market,148,West,26,Herbal Tea,809,Decaf
California,99,Lemon,546,Major Market,196,West,77,Herbal Tea,1268,Decaf
California,99,Lemon,582,Major Market,291,West,77,Herbal Tea,1268,Decaf
California,25,Mint,90,Major Market,26,West,12,Herbal Tea,541,Decaf
California,43,Darjeeling,276,Major Market,120,West,31,Tea,897,Regular
California,32,Earl Grey,187,Major Market,79,West,21,Tea,580,Regular
California,142,Columbian,687,Major Market,364,West,90,Coffee,2067,Regular
California,166,Columbian,902,Major Market,508,West,127,Coffee,2617,Regular
California,139,Columbian,664,Major Market,349,West,87,Coffee,2580,Regular
California,54,Green Tea,168,Major Market,47,West,22,Tea,677,Regular
California,109,Decaf Espresso,546,Major Market,203,West,77,Espresso,1310,Decaf
California,116,Decaf Espresso,589,Major Market,220,West,83,Espresso,1686,Decaf
California,107,Decaf Espresso,567,Major Market,292,West,75,Espresso,1691,Decaf
California,33,Chamomile,198,Major Market,84,West,22,Herbal Tea,984,Decaf
California,88,Lemon,467,Major Market,165,West,66,Herbal Tea,923,Decaf
California,91,Lemon,490,Major Market,174,West,69,Herbal Tea,1272,Decaf
California,28,Mint,119,Major Market,52,West,17,Herbal Tea,554,Decaf
California,44,Darjeeling,290,Major Market,128,West,33,Tea,930,Regular
California,92,Caffe Latte,527,Major Market,230,West,74,Espresso,1819,Regular
California,92,Caffe Latte,527,Major Market,230,West,74,Espresso,1797,Regular
California,96,Decaf Irish Cream,132,Major Market,-182,West,47,Coffee,862,Decaf
California,49,Green Tea,159,Major Market,59,West,21,Tea,593,Regular
California,111,Decaf Espresso,607,Major Market,317,West,86,Espresso,1433,Decaf
California,85,Lemon,452,Major Market,160,West,64,Herbal Tea,965,Decaf
California,30,Mint,120,Major Market,38,West,17,Herbal Tea,554,Decaf
California,37,Mint,188,Major Market,92,West,27,Herbal Tea,574,Decaf
California,41,Darjeeling,256,Major Market,111,West,29,Tea,821,Regular
California,45,Darjeeling,302,Major Market,134,West,34,Tea,928,Regular
California,45,Darjeeling,322,Major Market,199,West,34,Tea,928,Regular
California,40,Earl Grey,245,Major Market,105,West,28,Tea,598,Regular
California,90,Caffe Latte,509,Major Market,221,West,66,Espresso,1417,Regular
California,93,Caffe Latte,531,Major Market,232,West,69,Espresso,1775,Regular
California,146,Caffe Mocha,298,Major Market,27,West,113,Espresso,700,Regular
California,146,Caffe Mocha,318,Major Market,40,West,113,Espresso,700,Regular
California,113,Decaf Espresso,604,Major Market,313,West,80,Espresso,1260,Decaf
California,88,Lemon,498,Major Market,245,West,66,Herbal Tea,923,Decaf
California,25,Mint,98,Major Market,40,West,13,Herbal Tea,536,Decaf
California,27,Mint,106,Major Market,43,West,14,Herbal Tea,531,Decaf
California,45,Darjeeling,322,Major Market,199,West,34,Tea,959,Regular
California,92,Caffe Latte,510,Major Market,218,West,63,Espresso,1459,Regular
